Club Name,Address,Latitude,Longitude,Category,Description
Pure Nightclub,"146 S Murphy Ave, Sunnyvale",37.377,-122.03,,
The Holy Cow,"1535 Folsom St, San Francisco",37.771,-122.414,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS"
The Holy Cow,"1535 Folsom St, San Francisco",37.771,-122.414,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES"
The Holy Cow,"1535 Folsom St, San Francisco",37.771,-122.414,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES"
The Holy Cow,"1535 Folsom St, San Francisco",37.771,-122.414,SUSPICIOUS OCC,INVESTIGATIVE DETENTION
The Holy Cow,"1535 Folsom St, San Francisco",37.771,-122.414,WARRANTS,ENROUTE TO ADULT AUTHORITY
The Holy Cow,"1535 Folsom St, San Francisco",37.771,-122.414,WARRANTS,WARRANT ARREST
The Holy Cow,"1535 Folsom St, San Francisco",37.771,-122.414,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM"
The Holy Cow,"1535 Folsom St, San Francisco",37.771,-122.414,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO
The Holy Cow,"1535 Folsom St, San Francisco",37.771,-122.414,LARCENY/THEFT,PETTY THEFT OF PROPERTY
The Holy Cow,"1535 Folsom St, San Francisco",37.771,-122.414,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
HUE,"447 Broadway, San Francisco",37.798,-122.405,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP"
HUE,"447 Broadway, San Francisco",37.798,-122.405,WARRANTS,ENROUTE TO ADULT AUTHORITY
HUE,"447 Broadway, San Francisco",37.798,-122.405,LARCENY/THEFT,PETTY THEFT FROM A BUILDING
HUE,"447 Broadway, San Francisco",37.798,-122.405,OTHER OFFENSES,RESISTING ARREST
HUE,"447 Broadway, San Francisco",37.798,-122.405,SUSPICIOUS OCC,INVESTIGATIVE DETENTION
HUE,"447 Broadway, San Francisco",37.798,-122.405,NON-CRIMINAL,LOST PROPERTY
HUE,"447 Broadway, San Francisco",37.798,-122.405,DRUG/NARCOTIC,SALE OF COCAINE
HUE,"447 Broadway, San Francisco",37.798,-122.405,DRUG/NARCOTIC,SALE OF MARIJUANA
HUE,"447 Broadway, San Francisco",37.798,-122.405,DRUG/NARCOTIC,POSSESSION OF COCAINE FOR SALES
HUE,"447 Broadway, San Francisco",37.798,-122.405,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE
HUE,"447 Broadway, San Francisco",37.798,-122.405,LARCENY/THEFT,PETTY THEFT FROM A BUILDING
HUE,"447 Broadway, San Francisco",37.798,-122.405,MISSING PERSON,MISSING ADULT
HUE,"447 Broadway, San Francisco",37.798,-122.405,SUSPICIOUS OCC,INVESTIGATIVE DETENTION
HUE,"447 Broadway, San Francisco",37.798,-122.405,SUSPICIOUS OCC,INVESTIGATIVE DETENTION
HUE,"447 Broadway, San Francisco",37.798,-122.405,LARCENY/THEFT,GRAND THEFT FROM PERSON
HUE,"447 Broadway, San Francisco",37.798,-122.405,OTHER OFFENSES,VIOLATION OF MUNICIPAL POLICE CODE
HUE,"447 Broadway, San Francisco",37.798,-122.405,OTHER OFFENSES,TRAFFIC VIOLATION
HUE,"447 Broadway, San Francisco",37.798,-122.405,SUSPICIOUS OCC,INVESTIGATIVE DETENTION
HUE,"447 Broadway, San Francisco",37.798,-122.405,LARCENY/THEFT,GRAND THEFT OF PROPERTY
HUE,"447 Broadway, San Francisco",37.798,-122.405,OTHER OFFENSES,RESISTING ARREST
HUE,"447 Broadway, San Francisco",37.798,-122.405,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION
HUE,"447 Broadway, San Francisco",37.798,-122.405,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED"
HUE,"447 Broadway, San Francisco",37.798,-122.405,OTHER OFFENSES,TRAFFIC VIOLATION
HUE,"447 Broadway, San Francisco",37.798,-122.405,NON-CRIMINAL,LOST PROPERTY
HUE,"447 Broadway, San Francisco",37.798,-122.405,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP"
HUE,"447 Broadway, San Francisco",37.798,-122.405,SECONDARY CODES,DOMESTIC VIOLENCE
HUE,"447 Broadway, San Francisco",37.798,-122.405,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
HUE,"447 Broadway, San Francisco",37.798,-122.405,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
HUE,"447 Broadway, San Francisco",37.798,-122.405,OTHER OFFENSES,RECKLESS DRIVING
HUE,"447 Broadway, San Francisco",37.798,-122.405,OTHER OFFENSES,SPEEDING
HUE,"447 Broadway, San Francisco",37.798,-122.405,DRUG/NARCOTIC,POSSESSION OF MARIJUANA
HUE,"447 Broadway, San Francisco",37.798,-122.405,OTHER OFFENSES,RESISTING ARREST
HUE,"447 Broadway, San Francisco",37.798,-122.405,OTHER OFFENSES,TRAFFIC VIOLATION ARREST
HUE,"447 Broadway, San Francisco",37.798,-122.405,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY
HUE,"447 Broadway, San Francisco",37.798,-122.405,LARCENY/THEFT,GRAND THEFT FROM PERSON
HUE,"447 Broadway, San Francisco",37.798,-122.405,FRAUD,"CREDIT CARD, THEFT BY USE OF"
HUE,"447 Broadway, San Francisco",37.798,-122.405,ROBBERY,"ROBBERY, BODILY FORCE"
HUE,"447 Broadway, San Francisco",37.798,-122.405,MISSING PERSON,MISSING ADULT
HUE,"447 Broadway, San Francisco",37.798,-122.405,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE
HUE,"447 Broadway, San Francisco",37.798,-122.405,DISORDERLY CONDUCT,DISTURBING THE PEACE
HUE,"447 Broadway, San Francisco",37.798,-122.405,NON-CRIMINAL,FOUND PROPERTY
HUE,"447 Broadway, San Francisco",37.798,-122.405,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE
HUE,"447 Broadway, San Francisco",37.798,-122.405,"SEX OFFENSES, FORCIBLE","FORCIBLE RAPE, BODILY FORCE"
HUE,"447 Broadway, San Francisco",37.798,-122.405,NON-CRIMINAL,LOST PROPERTY
HUE,"447 Broadway, San Francisco",37.798,-122.405,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
HUE,"447 Broadway, San Francisco",37.798,-122.405,NON-CRIMINAL,LOST PROPERTY
HUE,"447 Broadway, San Francisco",37.798,-122.405,LARCENY/THEFT,PETTY THEFT OF PROPERTY
HUE,"447 Broadway, San Francisco",37.798,-122.405,NON-CRIMINAL,LOST PROPERTY
HUE,"447 Broadway, San Francisco",37.798,-122.405,NON-CRIMINAL,LOST PROPERTY
HUE,"447 Broadway, San Francisco",37.798,-122.405,LARCENY/THEFT,PETTY THEFT OF PROPERTY
HUE,"447 Broadway, San Francisco",37.798,-122.405,LARCENY/THEFT,PETTY THEFT OF PROPERTY
HUE,"447 Broadway, San Francisco",37.798,-122.405,LARCENY/THEFT,PETTY THEFT OF PROPERTY
HUE,"447 Broadway, San Francisco",37.798,-122.405,NON-CRIMINAL,LOST PROPERTY
HUE,"447 Broadway, San Francisco",37.798,-122.405,NON-CRIMINAL,LOST PROPERTY
HUE,"447 Broadway, San Francisco",37.798,-122.405,NON-CRIMINAL,LOST PROPERTY
HUE,"447 Broadway, San Francisco",37.798,-122.405,LARCENY/THEFT,GRAND THEFT OF PROPERTY
HUE,"447 Broadway, San Francisco",37.798,-122.405,ASSAULT,BATTERY OF A POLICE OFFICER
HUE,"447 Broadway, San Francisco",37.798,-122.405,ASSAULT,BATTERY
HUE,"447 Broadway, San Francisco",37.798,-122.405,LARCENY/THEFT,PETTY THEFT OF PROPERTY
HUE,"447 Broadway, San Francisco",37.798,-122.405,ASSAULT,BATTERY
HUE,"447 Broadway, San Francisco",37.798,-122.405,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING"
HUE,"447 Broadway, San Francisco",37.798,-122.405,LARCENY/THEFT,"LOST PROPERTY, PETTY THEFT"
HUE,"447 Broadway, San Francisco",37.798,-122.405,OTHER OFFENSES,RESISTING ARREST
HUE,"447 Broadway, San Francisco",37.798,-122.405,ASSAULT,BATTERY OF A POLICE OFFICER
HUE,"447 Broadway, San Francisco",37.798,-122.405,OTHER OFFENSES,RESISTING ARREST
HUE,"447 Broadway, San Francisco",37.798,-122.405,NON-CRIMINAL,LOST PROPERTY
F8,"1192 Folsom St, San Francisco",37.775,-122.41,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO
F8,"1192 Folsom St, San Francisco",37.775,-122.41,NON-CRIMINAL,FOUND PROPERTY
F8,"1192 Folsom St, San Francisco",37.775,-122.41,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO
F8,"1192 Folsom St, San Francisco",37.775,-122.41,VEHICLE THEFT,STOLEN TRUCK
F8,"1192 Folsom St, San Francisco",37.775,-122.41,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE
F8,"1192 Folsom St, San Francisco",37.775,-122.41,WARRANTS,WARRANT ARREST
F8,"1192 Folsom St, San Francisco",37.775,-122.41,RECOVERED VEHICLE,"VEHICLE, RECOVERED, AUTO"
F8,"1192 Folsom St, San Francisco",37.775,-122.41,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA
F8,"1192 Folsom St, San Francisco",37.775,-122.41,OTHER OFFENSES,PAROLE VIOLATION
F8,"1192 Folsom St, San Francisco",37.775,-122.41,BURGLARY,"BURGLARY, FORCIBLE ENTRY"
F8,"1192 Folsom St, San Francisco",37.775,-122.41,LARCENY/THEFT,GRAND THEFT PICKPOCKET
F8,"1192 Folsom St, San Francisco",37.775,-122.41,DRUG/NARCOTIC,POSSESSION OF MARIJUANA
F8,"1192 Folsom St, San Francisco",37.775,-122.41,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE
F8,"1192 Folsom St, San Francisco",37.775,-122.41,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
F8,"1192 Folsom St, San Francisco",37.775,-122.41,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO
F8,"1192 Folsom St, San Francisco",37.775,-122.41,ASSAULT,BATTERY
F8,"1192 Folsom St, San Francisco",37.775,-122.41,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF DRUGS
F8,"1192 Folsom St, San Francisco",37.775,-122.41,DISORDERLY CONDUCT,"DISTURBING THE PEACE, FIGHTING"
F8,"1192 Folsom St, San Francisco",37.775,-122.41,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS
F8,"1192 Folsom St, San Francisco",37.775,-122.41,WARRANTS,WARRANT ARREST
F8,"1192 Folsom St, San Francisco",37.775,-122.41,"SEX OFFENSES, FORCIBLE",SEXUAL BATTERY
F8,"1192 Folsom St, San Francisco",37.775,-122.41,ASSAULT,FALSE IMPRISONMENT
F8,"1192 Folsom St, San Francisco",37.775,-122.41,OTHER OFFENSES,CONSPIRACY
F8,"1192 Folsom St, San Francisco",37.775,-122.41,LARCENY/THEFT,ATTEMPTED SHOPLIFTING
F8,"1192 Folsom St, San Francisco",37.775,-122.41,ASSAULT,BATTERY
F8,"1192 Folsom St, San Francisco",37.775,-122.41,OTHER OFFENSES,TRAFFIC VIOLATION
F8,"1192 Folsom St, San Francisco",37.775,-122.41,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
F8,"1192 Folsom St, San Francisco",37.775,-122.41,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL
F8,"1192 Folsom St, San Francisco",37.775,-122.41,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
F8,"1192 Folsom St, San Francisco",37.775,-122.41,VEHICLE THEFT,STOLEN AUTOMOBILE
F8,"1192 Folsom St, San Francisco",37.775,-122.41,OTHER OFFENSES,RESISTING ARREST
